Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID,
29.191,386.917,81.645,um,Spot,Position,1,1000000000,0,
28.392,385.123,82.721,um,Spot,Position,2,1000000000,65,
25.139,370.998,84.515,um,Spot,Position,3,1000000000,127,
22.829,363.677,87.089,um,Spot,Position,4,1000000000,245,
24.586,359.982,92.030,um,Spot,Position,5,1000000000,254,
23.727,357.739,93.631,um,Spot,Position,6,1000000000,322,
25.314,356.646,94.406,um,Spot,Position,7,1000000000,396,
25.083,347.339,93.165,um,Spot,Position,8,1000000000,467,
21.243,345.952,93.476,um,Spot,Position,9,1000000000,549,
23.251,340.613,93.886,um,Spot,Position,10,1000000000,631,
27.314,335.106,85.619,um,Spot,Position,11,1000000000,802,
27.378,335.750,86.089,um,Spot,Position,12,1000000000,882,
27.330,335.432,86.581,um,Spot,Position,13,1000000000,887,
30.957,371.385,58.303,um,Spot,Position,1,1000000001,1,
31.192,370.781,59.001,um,Spot,Position,2,1000000001,66,
31.974,370.008,58.936,um,Spot,Position,3,1000000001,128,
32.015,370.216,56.141,um,Spot,Position,4,1000000001,190,
30.459,373.228,56.507,um,Spot,Position,5,1000000001,255,
30.815,371.209,57.200,um,Spot,Position,6,1000000001,323,
30.495,372.434,57.624,um,Spot,Position,7,1000000001,398,
30.514,372.971,58.004,um,Spot,Position,8,1000000001,470,
31.094,370.608,58.588,um,Spot,Position,9,1000000001,551,
30.330,368.917,59.336,um,Spot,Position,10,1000000001,632,
29.972,372.755,55.588,um,Spot,Position,11,1000000001,719,
29.840,373.331,56.099,um,Spot,Position,12,1000000001,806,
29.291,371.176,57.794,um,Spot,Position,13,1000000001,888,
28.664,371.985,57.857,um,Spot,Position,14,1000000001,967,
30.199,375.551,53.679,um,Spot,Position,15,1000000001,1046,
12.756,379.133,47.510,um,Spot,Position,16,1000000001,1116,
20.817,386.145,31.780,um,Spot,Position,19,1000000001,1338,
21.050,386.459,31.346,um,Spot,Position,22,1000000001,1538,
20.130,386.576,30.486,um,Spot,Position,25,1000000001,1759,
48.371,124.256,98.102,um,Spot,Position,1,1000000002,2,
48.723,123.482,97.872,um,Spot,Position,2,1000000002,67,
49.155,123.708,98.246,um,Spot,Position,3,1000000002,130,
47.700,123.873,96.199,um,Spot,Position,4,1000000002,194,
46.178,124.457,96.345,um,Spot,Position,5,1000000002,259,
45.695,123.624,96.286,um,Spot,Position,6,1000000002,327,
45.046,123.487,96.279,um,Spot,Position,7,1000000002,401,
46.233,125.262,98.084,um,Spot,Position,8,1000000002,472,
49.283,125.642,99.938,um,Spot,Position,9,1000000002,556,
49.943,126.642,100.125,um,Spot,Position,10,1000000002,639,
51.885,136.126,93.938,um,Spot,Position,11,1000000002,725,
51.969,136.266,94.172,um,Spot,Position,12,1000000002,812,
51.216,128.529,99.186,um,Spot,Position,13,1000000002,894,
51.784,127.822,99.241,um,Spot,Position,14,1000000002,973,
